node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
10,4,40,oSIA,0,0,9.061205999
10,4,45,oSIA,0,0,10.19385675
10,4,50,oSIA,0,0,11.3265075
10,4,55,oSIA,0,0,12.45915825
10,4,60,oSIA,0,0,13.591809
10,4,65,oSIA,0,0,14.72445975
10,4,70,oSIA,1,1,16.52259383
10,4,75,oSIA,0,0,16.98976125
10,4,80,oSIA,0,0,18.122412
10,4,85,oSIA,0,0,19.25506275
10,4,90,oSIA,0,0,20.3877135
10,4,95,oSIA,0,0,21.52036425
10,5,100,oSIA,0,0,22.653015
10,5,25,oSIA,0,0,5.66325375
10,5,30,oSIA,1,2,8.387163579
10,5,35,oSIA,0,0,7.928555249
10,5,40,oSIA,0,0,9.061205999
10,5,45,oSIA,0,0,10.19385675
10,5,50,oSIA,0,0,11.3265075
10,5,55,oSIA,0,0,12.45915825
10,5,60,oSIA,0,0,13.591809
10,5,65,oSIA,0,0,14.72445975
10,5,70,oSIA,0,0,15.8571105
10,5,75,oSIA,0,0,16.98976125
10,5,80,oSIA,0,0,18.122412
10,5,85,oSIA,0,0,19.25506275
10,5,90,oSIA,0,0,20.3877135
10,5,95,oSIA,0,0,21.52036425
100,1,100,oSIA,0,0,22.653015
100,1,25,oSIA,23854,3,7.077934546
100,1,30,oSIA,18793,4,9.252740336
100,1,35,oSIA,16015,4,10.36192162
100,1,40,oSIA,13133,4,11.51769753
100,1,45,oSIA,9048,3,12.49825261
100,1,50,oSIA,708,2,13.27305999
100,1,55,oSIA,0,0,12.45915825
100,1,60,oSIA,0,0,13.591809
100,1,65,oSIA,0,0,14.72445975
100,1,70,oSIA,0,0,15.8571105
100,1,75,oSIA,0,0,16.98976125
100,1,80,oSIA,0,0,18.122412
100,1,85,oSIA,0,0,19.25506275
100,1,90,oSIA,0,0,20.3877135
100,1,95,oSIA,0,0,21.52036425
100,2,100,oSIA,0,0,22.653015
100,2,25,oSIA,0,0,5.66325375
100,2,30,oSIA,0,0,6.7959045
100,2,35,oSIA,0,0,7.928555249
100,2,40,oSIA,0,0,9.061205999
100,2,45,oSIA,60,2,10.85988962
100,2,50,oSIA,2800,4,13.03189534
100,2,55,oSIA,1607,2,14.15926805
100,2,60,oSIA,2,2,15.18144021
100,2,65,oSIA,1,1,15.50319086
100,2,70,oSIA,0,0,15.8571105
100,2,75,oSIA,0,0,16.98976125
100,2,80,oSIA,0,0,18.122412
100,2,85,oSIA,0,0,19.25506275
100,2,90,oSIA,0,0,20.3877135
100,2,95,oSIA,0,0,21.52036425
100,3,100,oSIA,0,0,22.653015
100,3,25,oSIA,1,1,6.359004464
100,3,30,oSIA,0,0,6.7959045
100,3,35,oSIA,0,0,7.928555249
100,3,40,oSIA,0,0,9.061205999
100,3,45,oSIA,0,0,10.19385675
100,3,50,oSIA,0,0,11.3265075
100,3,55,oSIA,1180,4,14.06650474
100,3,60,oSIA,0,0,13.591809
100,3,65,oSIA,0,0,14.72445975
100,3,70,oSIA,1,1,16.52316161
100,3,75,oSIA,0,0,16.98976125
100,3,80,oSIA,0,0,18.122412
100,3,85,oSIA,0,0,19.25506275
100,3,90,oSIA,0,0,20.3877135
100,3,95,oSIA,0,0,21.52036425
100,4,100,oSIA,0,0,22.653015
100,4,25,oSIA,2,2,6.750388838
100,4,30,oSIA,1,1,7.503625587
100,4,35,oSIA,0,0,7.928555249
100,4,40,oSIA,0,0,9.061205999
100,4,45,oSIA,0,0,10.19385675
100,4,50,oSIA,0,0,11.3265075
100,4,55,oSIA,0,0,12.45915825
100,4,60,oSIA,0,0,13.591809
100,4,65,oSIA,0,0,14.72445975
100,4,70,oSIA,0,0,15.8571105
100,4,75,oSIA,0,0,16.98976125
100,4,80,oSIA,0,0,18.122412
100,4,85,oSIA,0,0,19.25506275
100,4,90,oSIA,0,0,20.3877135
100,4,95,oSIA,0,0,21.52036425
100,5,100,oSIA,0,0,22.653015
100,5,25,oSIA,0,0,5.66325375
100,5,30,oSIA,1,1,7.467238169
100,5,35,oSIA,0,0,7.928555249
100,5,40,oSIA,0,0,9.061205999
100,5,45,oSIA,0,0,10.19385675
100,5,50,oSIA,0,0,11.3265075
100,5,55,oSIA,0,0,12.45915825
