node,year,ri_coverage,scenario,total_cases,outbreaks,vapp
10,3,90,pSIA2,0,0,25.6306806
10,3,95,pSIA2,0,0,26.97315703
10,4,100,pSIA2,0,0,22.653015
10,4,25,pSIA2,0,0,5.66325375
10,4,30,pSIA2,0,0,6.7959045
10,4,35,pSIA2,0,0,7.928555249
10,4,40,pSIA2,0,0,9.061205999
10,4,45,pSIA2,16,1,10.98855817
10,4,50,pSIA2,2,1,12.05030829
10,4,55,pSIA2,0,0,12.45915825
10,4,60,pSIA2,0,0,13.591809
10,4,65,pSIA2,0,0,14.72445975
10,4,70,pSIA2,0,0,15.8571105
10,4,75,pSIA2,0,0,16.98976125
10,4,80,pSIA2,0,0,18.122412
10,4,85,pSIA2,0,0,19.25506275
10,4,90,pSIA2,0,0,20.3877135
10,4,95,pSIA2,0,0,21.52036425
10,5,100,pSIA2,0,0,22.653015
10,5,25,pSIA2,1,2,6.878665589
10,5,30,pSIA2,0,0,6.7959045
10,5,35,pSIA2,0,0,7.928555249
10,5,40,pSIA2,0,0,9.061205999
10,5,45,pSIA2,11,2,11.11563594
10,5,50,pSIA2,0,0,11.3265075
10,5,55,pSIA2,0,0,12.45915825
10,5,60,pSIA2,0,0,13.591809
10,5,65,pSIA2,0,0,14.72445975
10,5,70,pSIA2,0,0,15.8571105
10,5,75,pSIA2,0,0,16.98976125
10,5,80,pSIA2,0,0,18.122412
10,5,85,pSIA2,0,0,19.25506275
10,5,90,pSIA2,0,0,20.3877135
10,5,95,pSIA2,0,0,21.52036425
100,1,100,pSIA2,0,0,28.33089724
100,1,25,pSIA2,5966,3,10.15101534
100,1,30,pSIA2,5091,3,11.34180684
100,1,35,pSIA2,0,0,10.8592665
100,1,40,pSIA2,12,4,14.36650717
100,1,45,pSIA2,0,0,13.54493112
100,1,50,pSIA2,0,0,14.88871194
100,1,55,pSIA2,0,0,16.23010063
100,1,60,pSIA2,0,0,17.57253032
100,1,65,pSIA2,0,0,18.91614323
100,1,70,pSIA2,0,0,20.25915445
100,1,75,pSIA2,0,0,21.60221766
100,1,80,pSIA2,0,0,22.94467988
100,1,85,pSIA2,0,0,24.28734284
100,1,90,pSIA2,0,0,25.63048542
100,1,95,pSIA2,0,0,26.97367792
100,2,100,pSIA2,0,0,28.31626875
100,2,25,pSIA2,300,3,8.126347459
100,2,30,pSIA2,118,2,9.205304237
